FID,Shape *,ID,Remarks,Time,Geometry,Latitude,Longitude,Elevation,Ortho_Heig,Instrument,Fix_ID,Horizontal,Vertical_A,PDOP,HDOP,VDOP,Satellites,Satellit_1,Kelas,RASTERVALU
0,Point,1, ,02-09-2025 11:23:15.741 +0800,POINTZ(120.324700767 -5.483681132 0.0),-5.483681,120.324701,0,0,0,0,0,0,0,0,0,0,0,1,0.323968
1,Point,2, ,02-09-2025 11:23:17.339 +0800,POINTZ(120.324795915 -5.482481441 0.0),-5.482481,120.324796,0,0,0,0,0,0,0,0,0,0,0,1,0.324618
2,Point,3, ,02-09-2025 11:23:17.872 +0800,POINTZ(120.324795915 -5.482481441 0.0),-5.482481,120.324796,0,0,0,0,0,0,0,0,0,0,0,1,0.324618
3,Point,4, ,02-09-2025 14:01:51.479 +0800,POINTZ(120.394206179 -5.532457515 0.0),-5.532458,120.394206,0,0,0,0,0,0,0,0,0,0,0,1,0.31506
4,Point,5, ,02-09-2025 14:01:52.018 +0800,POINTZ(120.394206179 -5.532457515 0.0),-5.532458,120.394206,0,0,0,0,0,0,0,0,0,0,0,1,0.31506
5,Point,6, ,02-09-2025 14:03:57.212 +0800,POINTZ(120.394206179 -5.532457515 0.0),-5.532458,120.394206,0,0,0,0,0,0,0,0,0,0,0,1,0.31506
6,Point,7, ,02-09-2025 14:03:57.748 +0800,POINTZ(120.394206179 -5.532457515 0.0),-5.532458,120.394206,0,0,0,0,0,0,0,0,0,0,0,1,0.31506
7,Point,8, ,02-09-2025 14:13:30.786 +0800,POINTZ(120.43650852 -5.520284728 0.0),-5.520285,120.436509,0,0,0,0,0,0,0,0,0,0,0,1,0.334287
8,Point,9, ,02-09-2025 14:13:31.315 +0800,POINTZ(120.43650852 -5.520284728 0.0),-5.520285,120.436509,0,0,0,0,0,0,0,0,0,0,0,1,0.334287
9,Point,10, ,02-09-2025 14:15:58.199 +0800,POINTZ(120.43650852 -5.520284728 0.0),-5.520285,120.436509,0,0,0,0,0,0,0,0,0,0,0,1,0.334287
10,Point,11, ,02-09-2025 14:15:58.744 +0800,POINTZ(120.43650852 -5.520284728 0.0),-5.520285,120.436509,0,0,0,0,0,0,0,0,0,0,0,1,0.334287
11,Point,12, ,02-09-2025 14:16:05.746 +0800,POINTZ(120.431749204 -5.522904904 0.0),-5.522905,120.431749,0,0,0,0,0,0,0,0,0,0,0,1,0.329929
12,Point,13, ,02-09-2025 14:16:06.265 +0800,POINTZ(120.431749204 -5.522904904 0.0),-5.522905,120.431749,0,0,0,0,0,0,0,0,0,0,0,1,0.329929
13,Point,14, ,02-09-2025 14:42:54.859 +0800,POINTZ(120.44355446 -5.488608394 0.0),-5.488608,120.443554,0,0,0,0,0,0,0,0,0,0,0,1,-9999
14,Point,15, ,02-09-2025 14:42:55.791 +0800,POINTZ(120.44355446 -5.488608394 0.0),-5.488608,120.443554,0,0,0,0,0,0,0,0,0,0,0,1,-9999
15,Point,16, ,02-09-2025 14:42:58.357 +0800,POINTZ(120.443613979 -5.488069822 0.0),-5.48807,120.443614,0,0,0,0,0,0,0,0,0,0,0,1,0.339422
16,Point,17, ,02-09-2025 14:42:58.880 +0800,POINTZ(120.443613979 -5.488069822 0.0),-5.48807,120.443614,0,0,0,0,0,0,0,0,0,0,0,1,0.339422
17,Point,18, ,02-09-2025 14:42:59.257 +0800,POINTZ(120.443762539 -5.488081748 0.0),-5.488082,120.443763,0,0,0,0,0,0,0,0,0,0,0,1,-9999
18,Point,19, ,02-09-2025 14:47:44.298 +0800,POINTZ(120.440163096 -5.481948449 0.0),-5.481948,120.440163,0,0,0,0,0,0,0,0,0,0,0,1,0.340777
19,Point,20, ,02-09-2025 14:47:44.843 +0800,POINTZ(120.440163096 -5.481948449 0.0),-5.481948,120.440163,0,0,0,0,0,0,0,0,0,0,0,1,0.340777
20,Point,21, ,02-09-2025 14:51:51.909 +0800,POINTZ(120.439725299 -5.479384349 0.0),-5.479384,120.439725,0,0,0,0,0,0,0,0,0,0,0,1,0.341333
21,Point,22, ,02-09-2025 14:51:52.430 +0800,POINTZ(120.439725299 -5.479384349 0.0),-5.479384,120.439725,0,0,0,0,0,0,0,0,0,0,0,1,0.341333
22,Point,23, ,02-09-2025 15:04:07.587 +0800,POINTZ(120.425403634 -5.46385333 0.0),-5.463853,120.425404,0,0,0,0,0,0,0,0,0,0,0,1,-9999
23,Point,24, ,02-09-2025 15:04:09.335 +0800,POINTZ(120.425403634 -5.46385333 0.0),-5.463853,120.425404,0,0,0,0,0,0,0,0,0,0,0,1,-9999
24,Point,25, ,02-09-2025 15:04:09.880 +0800,POINTZ(120.425403634 -5.46385333 0.0),-5.463853,120.425404,0,0,0,0,0,0,0,0,0,0,0,1,-9999
25,Point,26, ,02-09-2025 15:04:11.949 +0800,POINTZ(120.424748587 -5.470135867 0.0),-5.470136,120.424749,0,0,0,0,0,0,0,0,0,0,0,1,0.346358
26,Point,27, ,02-09-2025 15:04:12.470 +0800,POINTZ(120.424748587 -5.470135867 0.0),-5.470136,120.424749,0,0,0,0,0,0,0,0,0,0,0,1,0.346358
27,Point,28, ,02-09-2025 17:03:11.081 +0800,POINTZ(120.385334499 -5.349423746 0.0),-5.349424,120.385334,0,0,0,0,0,0,0,0,0,0,0,1,0.383497
28,Point,29, ,02-09-2025 17:03:11.630 +0800,POINTZ(120.385334499 -5.349423746 0.0),-5.349424,120.385334,0,0,0,0,0,0,0,0,0,0,0,1,0.383497
29,Point,30, ,02-09-2025 17:09:41.670 +0800,POINTZ(120.387718447 -5.34568772 0.0),-5.345688,120.387718,0,0,0,0,0,0,0,0,0,0,0,1,0.38255
30,Point,31, ,02-09-2025 17:09:42.211 +0800,POINTZ(120.387718447 -5.34568772 0.0),-5.345688,120.387718,0,0,0,0,0,0,0,0,0,0,0,1,0.38255
